YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
SDH2	YLL041C	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain
HSP104	YLL026W	HSP104	Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation
POM33	YLL023C	POM33	Transmembrane nucleoporin involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p
BPT1	YLL015W	BPT1	ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p
YEH1	YLL012W	YEH1	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes
COX17	YLL009C	COX17	Copper metallochaperone that transfers copper to Sco1p and Cox11p for eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs
MMM1	YLL006W	MMM1	ER integral membrane protein, component of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth
SFI1	YLL003W	SFI1	Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C
DNM1	YLL001W	DNM1	Dynamin-related GTPase required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance
THI73	YLR004C	THI73	Putative plasma membrane permease proposed to be involved in carboxylic acid uptake and repressed by thiamine; substrate of Dbf2p/Mob1p kinase; transcription is altered if mitochondrial dysfunction occurs
SSK1	YLR006C	SSK1	Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate
PAM18	YLR008C	PAM18	Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p
TEN1	YLR010C	TEN1	Protein that regulates telomeric length; protects telomeric ends in a complex with Cdc13p and Stn1p
PSR2	YLR019W	PSR2	Functionally redundant Psr1p homolog, a plasma membrane phosphatase involved in the general stress response; required with Psr1p and Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p
AAT2	YLR027C	AAT2	Cytosolic aspartate aminotransferase, involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells
ADE16	YLR028C	ADE16	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p; ade16 ade17 mutants require adenine and histidine
MLH2	YLR035C	MLH2	Protein involved in the mismatch repair of certain frameshift intermediates and involved in meiotic recombination; forms a complex with Mlh1p
YLR036C	YLR036C	YLR036C	Putative protein of unknown function predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein
AFB1	YLR040C	AFB1	Putative protein of unknown function; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W; YLR040C is not essential
YLR041W	YLR041W	YLR041W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C
FYV7	YLR068W	FYV7	Essential protein required for maturation of 18S rRNA; required for survival upon exposure to K1 killer toxin
XYL2	YLR070C	XYL2	Xylitol dehydrogenase, converts xylitol to D-xylulose; expression induced by xylose, even though this pentose sugar is not well utilized by S. cerevisiae; null mutant has cell wall defect
LAM6	YLR072W	LAM6	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YLR072W is not an esssential gene
BUD20	YLR074C	BUD20	Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
EMP46	YLR080W	EMP46	Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport
GAL2	YLR081W	GAL2	Galactose permease, required for utilization of galactose; also able to transport glucose
NYV1	YLR093C	NYV1	v-SNARE component of the vacuolar SNARE complex involved in vesicle fusion; inhibits ATP-dependent Ca(2+) transport activity of Pmc1p in the vacuolar membrane
CHA4	YLR098C	CHA4	DNA binding transcriptional activator, mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain
ICT1	YLR099C	ICT1	Lysophosphatidic acid acyltransferase, responsible for enhanced phospholipid synthesis during organic solvent stress; null displays increased sensitivity to Calcofluor white; highly expressed during organic solvent stress
ERG27	YLR100W	ERG27	3-keto sterol reductase, catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs
YLR101C	YLR101C	YLR101C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified, essential ORF ERG27/YLR100W
APC9	YLR102C	APC9	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition
LCL2	YLR104W	LCL2	Putative protein of unknown function; mutant is deficient in amounts of cell wall mannosylphosphate and has long chronological lifespan; genetic interactions suggest a role in ER-associated protein degradation (ERAD)
YLR108C	YLR108C	YLR108C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YLR108C is not an esssential gene
AVL9	YLR114C	AVL9	Conserved protein involved in exocytic transport from the Golgi; mutation is synthetically lethal with apl2 vps1 double mutation; member of a protein superfamily with orthologs in diverse organisms
TML25	YLR118C	TML25	Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS
DCN1	YLR128W	DCN1	Scaffold-type E3 ligase required for cullin neddylation and ubiquitin ligase activation; contains a ubiquitin-binding domain (UBA) for ubiquitin and Nedd8 (Rub1p) interaction and a PONY domain involved in cullin binding and neddylation
USB1	YLR132C	USB1	Essential protein of unknown function; fluorescent protein (GFP or YFP)-tagged protein localizes to mitochondria, cytoplasm and nucleus
CKI1	YLR133W	CKI1	Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway
SMD3	YLR147C	SMD3	Core Sm protein Sm D3; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D3
YLR149C	YLR149C	YLR149C	Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene
ASP3-1	YLR155C	ASP3-1	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3
ASP3-2	YLR157C	ASP3-2	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3
SHH4	YLR164W	SHH4	Mitochondrial inner membrane protein of unknown function; similar to Tim18p and Sdh4p; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner
PUS5	YLR165C	PUS5	Pseudouridine synthase, catalyzes only the formation of pseudouridine (Psi)-2819 in mitochondrial 21S rRNA; not essential for viability
APS1	YLR170C	APS1	Small subunit of the clathrin-associated adaptor complex AP-1, which is involved in protein sorting at the trans-Golgi network; homolog of the sigma subunit of the mammalian clathrin AP-1 complex
YLR173W	YLR173W	YLR173W	Putative protein of unknown function
RFX1	YLR176C	RFX1	Major transcriptional repressor of DNA-damage-regulated genes, recruits repressors Tup1p and Cyc8p to their promoters; involved in DNA damage and replication checkpoint pathway; similar to a family of mammalian DNA binding RFX1-4 proteins
YLR177W	YLR177W	YLR177W	Putative protein of unknown function; phosphorylated by Dbf2p-Mob1p in vitro; some strains contain microsatellite polymophisms at this locus; YLR177W is not an essential gene
TFS1	YLR178C	TFS1	Protein that interacts with and inhibits carboxypeptidase Y and Ira2p; phosphatidylethanolamine-binding protein (PEBP) family member; targets to vacuolar membranes during stationary phase; acetylated by NatB N-terminal acetyltransferase
VTA1	YLR181C	VTA1	Multivesicular body (MVB) protein involved in endosomal protein sorting; regulates Vps4p activity by promoting its oligomerization; has an N-terminal Vps60- and Did2- binding domain, a linker region, and a C-terminal Vps4p binding domain
MSS51	YLR203C	MSS51	Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase
ENT2	YLR206W	ENT2	Epsin-like protein required for endocytosis and actin patch assembly and functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus
HRD3	YLR207W	HRD3	Resident protein of the ER membrane that plays a central role in ER-associated protein degradation (ERAD), forms HRD complex with Hrd1p and ERAD determinants that engages in lumen to cytosol communication and coordination of ERAD events
MSC3	YLR219W	MSC3	Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; msc3 mutants are defective in directing meiotic recombination events to homologous chromatids; potential Cdc28p substrate
ADY4	YLR227C	ADY4	Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane
BNA5	YLR231C	BNA5	Kynureninase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p
THI7	YLR237W	THI7	Plasma membrane transporter responsible for the uptake of thiamine, member of the major facilitator superfamily of transporters; mutation of human ortholog causes thiamine-responsive megaloblastic anemia
LIP2	YLR239C	LIP2	Lipoyl ligase, involved in the modification of mitochondrial enzymes by the attachment of lipoic acid groups
CSC1	YLR241W	CSC1	Putative protein of unknown function, may be involved in detoxification
RCK2	YLR248W	RCK2	Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases
YLR257W	YLR257W	YLR257W	Putative protein of unknown function
GSY2	YLR258W	GSY2	Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase
HSP60	YLR259C	HSP60	Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated
YPT6	YLR262C	YPT6	Rab family GTPase, Ras-like GTP binding protein involved in the secretory pathway, required for fusion of endosome-derived vesicles with the late Golgi, maturation of the vacuolar carboxypeptidase Y; has similarity to the human GTPase, Rab6
TMA7	YLR262C-A	TMA7	Protein of unknown that associates with ribosomes; null mutant exhibits translation defects, altered polyribosome profiles, and resistance to the translation inhibitor anisomcyin
RPS28B	YLR264W	RPS28B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps28Ap and has similarity to rat S28 ribosomal protein
SEC22	YLR268W	SEC22	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog
DCS1	YLR270W	DCS1	Non-essential hydrolase involved in mRNA decapping, may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; interacts with neutral trehalase Nth1p
CMG1	YLR271W	CMG1	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
SMD2	YLR275W	SMD2	Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2
ECI1	YLR284C	ECI1	Peroxisomal delta3,delta2-enoyl-CoA isomerase, hexameric protein that converts 3-hexenoyl-CoA to trans-2-hexenoyl-CoA, essential for the beta-oxidation of unsaturated fatty acids, oleate-induced
COQ11	YLR290C	COQ11	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR290C is not an essential gene
ECM38	YLR299W	ECM38	Gamma-glutamyltranspeptidase, major glutathione-degrading enzyme; involved in detoxification of electrophilic xenobiotics; expression induced mainly by nitrogen starvation
CDC3	YLR314C	CDC3	Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM
NKP2	YLR315W	NKP2	Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)
EST2	YLR318W	EST2	Reverse transcriptase subunit of the telomerase holoenzyme, essential for telomerase core catalytic activity, involved in other aspects of telomerase assembly and function; mutations in human homolog are associated with aplastic anemia
BUD6	YLR319C	BUD6	Actin- and formin-interacting protein, involved in actin cable nucleation and polarized cell growth; isolated as bipolar budding mutant; potential Cdc28p substrate
PEX30	YLR324W	PEX30	Peroxisomal integral membrane protein, involved in negative regulation of peroxisome number; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p
YLR326W	YLR326W	YLR326W	Putative protein of unknown function, predicted to be palmitoylated
MID2	YLR332W	MID2	O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p
VRP1	YLR337C	VRP1	Proline-rich actin-associated protein involved in cytoskeletal organization and cytokinesis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)
YLR345W	YLR345W	YLR345W	Similar to 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase enzymes responsible for the metabolism of fructoso-2,6-bisphosphate; mRNA expression is repressed by the Rfx1p-Tup1p-Ssn6p repressor complex; YLR345W is not an essential gene
BUD8	YLR353W	BUD8	Protein involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern, and bud at the proximal pole
ATG33	YLR356W	ATG33	Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at the post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi, but not in higher eukaryotes
STE11	YLR362W	STE11	Signal transducing MEK kinase involved in pheromone response and pseudohyphal/invasive growth pathways where it phosphorylates Ste7p, and the high osmolarity response pathway, via phosphorylation of Pbs2p; regulated by Ste20p and Ste50p
SSQ1	YLR369W	SSQ1	Mitochondrial hsp70-type molecular chaperone, required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia
ARC18	YLR370C	ARC18	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches
CSR1	YLR380W	CSR1	Phosphatidylinositol transfer protein with a potential role in regulating lipid and fatty acid metabolism under heme-depleted conditions; interacts specifically with thioredoxin peroxidase; may have a role in oxidative stress resistance
NAM2	YLR382C	NAM2	Mitochondrial leucyl-tRNA synthetase, also has a direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance
REH1	YLR387C	REH1	Cytoplasmic 60S subunit biogenesis factor, associates with pre-60S particles; similar to Rei1p and shares partially redundant function in cytoplasmic 60S subunit maturation; contains dispersed C2H2 zinc finger domains
ATP10	YLR393W	ATP10	Mitochondrial inner membrane protein required for assembly of the F0 sector of mitochondrial F1F0 ATP synthase, interacts genetically with ATP6
SKI2	YLR398C	SKI2	Ski complex component and putative RNA helicase, mediates 3'-5' RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral dsRNAs and are synthetic lethal with mutations in 5'-3' mRNA decay
DUS3	YLR401C	DUS3	Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region
INA1	YLR413W	INA1	Putative protein of unknown function; YLR413W is not an essential gene
MAG2	YLR427W	MAG2	Cytoplasmic protein of unknown function; induced in response to mycotoxin patulin; ubiquitinated protein similar to the human ring finger motif protein RNF10; predicted to be involved in repair of alkylated DNA due to interaction with MAG1
CRN1	YLR429W	CRN1	Coronin, cortical actin cytoskeletal component that associates with the Arp2p/Arp3p complex to regulate its activity; plays a role in regulation of actin patch assembly
CNA1	YLR433C	CNA1	Calcineurin A; one isoform (the other is CMP2) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1
CAR2	YLR438W	CAR2	L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive
LSM3	YLR438C-A	LSM3	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA
SST2	YLR452C	SST2	GTPase-activating protein for Gpa1p, regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family
NBP1	YLR457C	NBP1	Spindle pole body (SPB) component, required for the insertion of the duplication plaque into the nuclear membrane during SPB duplication; essential for bipolar spindle formation; component of the Mps2p-Bbp1p complex
MSC1	YML128C	MSC1	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated
NDI1	YML120C	NDI1	NADH:ubiquinone oxidoreductase, transfers electrons from NADH to ubiquinone in the respiratory chain but does not pump protons, in contrast to the higher eukaryotic multisubunit respiratory complex I; phosphorylated; homolog of human AMID
NGL3	YML118W	NGL3	Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p and Ngl2p
NAB6	YML117W	NAB6	Putative RNA-binding protein that associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP
DAT1	YML113W	DAT1	DNA binding protein that recognizes oligo(dA).oligo(dT) tracts; Arg side chain in its N-terminal pentad Gly-Arg-Lys-Pro-Gly repeat is required for DNA-binding; not essential for viability
COQ5	YML110C	COQ5	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes
YML108W	YML108W	YML108W	Putative protein of unknown function whose structure defines a new subfamily of the split beta-alpha-beta sandwiches; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YML108W is not an essential gene
YML101C-A	YML101C-A	YML101C-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
CUE4	YML101C	CUE4	Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination
TSL1	YML100W	TSL1	Large subunit of trehalose 6-phosphate synthase (Tps1p)/phosphatase (Tps2p) complex, which converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose, similar to Tps3p and may share function; mutant has aneuploidy tolerance
YML099W-A	YML099W-A	YML099W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF ARG81/YML099C
PRE8	YML092C	PRE8	Alpha 2 subunit of the 20S proteasome
ATP18	YML081C-A	ATP18	Subunit of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms
DUS1	YML080W	DUS1	Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus3p, and Dus4p; modifies pre-tRNA(Phe) at U17
YML079W	YML079W	YML079W	Non-essential protein of unknown function with structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm
DAK1	YML070W	DAK1	Dihydroxyacetone kinase, required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation
TEM1	YML064C	TEM1	GTP-binding protein of the ras superfamily involved in termination of M-phase; controls actomyosin and septin dynamics during cytokinesis
SML1	YML058W	SML1	Ribonucleotide reductase inhibitor involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase
YML057C-A	YML057C-A	YML057C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene CMP2/YML057W
CMP2	YML057W	CMP2	Calcineurin A; one isoform (the other is CNA1) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1
CYB2	YML054C	CYB2	Cytochrome b2 (L-lactate cytochrome-c oxidoreductase), component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions
GAL80	YML051W	GAL80	Transcriptional regulator involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding
PRP39	YML046W	PRP39	U1 snRNP protein involved in splicing, contains multiple tetriatricopeptide repeats
YML037C	YML037C	YML037C	Putative protein of unknown function with some characteristics of a transcriptional activator; may be a target of Dbf2p-Mob1p kinase; GFP-fusion protein co-localizes with clathrin-coated vesicles; YML037C is not an essential gene
RAD52	YML032C	RAD52	Protein that stimulates strand exchange by facilitating Rad51p binding to single-stranded DNA; anneals complementary single-stranded DNA; involved in the repair of double-strand breaks in DNA during vegetative growth and meiosis
RCF1	YML030W	RCF1	Putative protein of unknown function; GFP-fusion protein localizes to mitochondria; may interact with respiratory chain complexes III or IV; null mutant is viable and displays reduced frequency of mitochondrial genome loss
TSA1	YML028W	TSA1	Thioredoxin peroxidase, acts as both a ribosome-associated and free cytoplasmic antioxidant; self-associates to form a high-molecular weight chaperone complex under oxidative stress; deletion results in mutator phenotype
UBX2	YML013W	UBX2	Protein involved in ER-associated protein degradation; proposed to coordinate the assembly of proteins involved in ERAD; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain
MRPL39	YML009C	MRPL39	Mitochondrial ribosomal protein of the large subunit
TRM12	YML005W	TRM12	S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; required for wybutosine formation in phenylalanine-accepting tRNA
GLO1	YML004C	GLO1	Monomeric glyoxalase I, catalyzes the detoxification of methylglyoxal (a by-product of glycolysis) via condensation with glutathione to produce S-D-lactoylglutathione; expression regulated by methylglyoxal levels and osmotic stress
PEX12	YMR026C	PEX12	C3HC4-type RING-finger peroxin and E3 ubiquitin ligase, required for peroxisome biogenesis and peroxisomal matrix protein import; forms translocation subcomplex with Pex2p and Pex10p; mutations in human homolog cause peroxisomal disorder
YMR027W	YMR027W	YMR027W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene
TAP42	YMR028W	TAP42	Essential protein involved in the TOR signaling pathway; physically associates with the protein phosphatase 2A and the SIT4 protein phosphatase catalytic subunits
FAR8	YMR029C	FAR8	Protein involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p
RCH1	YMR034C	RCH1	Putative transporter, member of the SLC10 carrier family; identified in a transposon mutagenesis screen as a gene involved in azole resistance; YMR034C is not an essential gene
ARA2	YMR041C	ARA2	NAD-dependent arabinose dehydrogenase, involved in biosynthesis of dehydro-D-arabinono-1,4-lactone; similar to plant L-galactose dehydrogenase
MCM1	YMR043W	MCM1	Transcription factor involved in cell-type-specific transcription and pheromone response; plays a central role in the formation of both repressor and activator complexes
NUP116	YMR047C	NUP116	Subunit of the Nup82 subcomplex of the nuclear pore complex; localized to both sides of the pore; contains a repetitive GLFG motif that interacts with mRNA export factor Mex67p and with karyopherin Kap95p; homologous to Nup100p
CSM3	YMR048W	CSM3	Replication fork associated factor, required for stable replication fork pausing; component of the DNA replication checkpoint pathway; required for accurate chromosome segregation during meiosis
YMR052C-A	YMR052C-A	YMR052C-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
STB2	YMR053C	STB2	Protein that interacts with Sin3p in a two-hybrid assay and is part of a large protein complex with Sin3p and Stb1p
STV1	YMR054W	STV1	Subunit a of the vacuolar-ATPase V0 domain, one of two isoforms (Stv1p and Vph1p); Stv1p is located in V-ATPase complexes of the Golgi and endosomes while Vph1p is located in V-ATPase complexes of the vacuole
AAC1	YMR056C	AAC1	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator
ARG7	YMR062C	ARG7	Mitochondrial ornithine acetyltransferase, catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine
SOV1	YMR066W	SOV1	Mitochondrial protein of unknown function
AVO2	YMR068W	AVO2	Component of a complex containing the Tor2p kinase and other proteins, which may have a role in regulation of cell growth
SDD2	YMR074C	SDD2	Protein with homology to human PDCD5, which is involved in programmed cell death; N-terminal region forms a conserved triple-helix bundle structure; overexpression promotes H2O2-induced apoptosis; YMR074C is not an essential gene
SEC14	YMR079W	SEC14	Phosphatidylinositol/phosphatidylcholine transfer protein; involved in regulating PtdIns, PtdCho, and ceramide metabolism, products of which regulate intracellular transport and UPR; functionally homologous to mammalian PITPs
SEG1	YMR086W	SEG1	Component of the eisosome with unknown function; may interact with ribosomes, based on co-purification experiments; GFP-fusion protein localizes to the cell periphery; expression is repressed by cAMP; similar to A. gossypii SEG gene which is important for stabilizing eisosomes
YMR090W	YMR090W	YMR090W	Putative protein of unknown function with similarity to DTDP-glucose 4,6-dehydratases; GFP-fusion protein localizes to the cytoplasm; up-regulated in response to the fungicide mancozeb; not essential for viability
NPL6	YMR091C	NPL6	Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Ldb7p, and Htl1p to form a module important for a broad range of RSC functions; involved in nuclear protein import and maintenance of proper telomere length
AIP1	YMR092C	AIP1	Actin cortical patch component, interacts with the actin depolymerizing factor cofilin; required to restrict cofilin localization to cortical patches; contains WD repeats
CTF13	YMR094W	CTF13	Subunit of the CBF3 complex, which binds to the CDE III element of centromeres, bending the DNA upon binding, and may be involved in sister chromatid cohesion during mitosis
SNO1	YMR095C	SNO1	Protein of unconfirmed function, involved in pyridoxine metabolism; expression is induced during stationary phase; forms a putative glutamine amidotransferase complex with Snz1p, with Sno1p serving as the glutaminase
YMR099C	YMR099C	YMR099C	Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase), likely involved in carbohydrate metabolism; GFP-fusion protein localizes to both the nucleus and cytoplasm and is induced in response to the DNA-damaging agent MMS
YPK2	YMR104C	YPK2	Protein kinase with similarity to serine/threonine protein kinase Ypk1p; functionally redundant with YPK1 at the genetic level; participates in a signaling pathway required for optimal cell wall integrity; homolog of mammalian kinase SGK
